Date;Well1
2003-07-01;NaN
2003-07-09;NaN
2003-07-10;-12.39
2003-07-11;-12.3920833333333
2003-07-12;-12.3929166666667
2003-07-13;-12.3966666666667
2003-07-14;-12.3970833333333
2003-07-15;-12.3995833333333
2003-07-16;-11.2158333333333
2003-07-17;-7.24
2003-07-18;-7.81466666666667
2003-07-19;-8.68791666666667
2003-07-20;-9.35958333333333
2003-07-21;-9.97666666666667
2003-07-22;-10.6770833333333
2003-07-23;-10.8916666666667
2003-07-24;-11.0295833333333
2003-07-25;-11.1204166666667
2003-07-26;-11.185
2003-07-27;-11.2916666666667
2003-07-28;-11.3225
2003-07-29;-11.285
2003-07-30;-11.2595833333333
2003-07-31;-11.3416666666667
2003-08-01;-11.45
2003-08-02;-11.5258333333333
2003-08-03;-11.59125
2003-08-04;-11.6358333333333
2003-08-05;-11.6691666666667
2003-08-06;-11.6995833333333
2003-08-07;-11.7241666666667
2003-08-08;-11.7633333333333
2003-08-09;-11.78
2003-08-10;-11.8125
2003-08-11;-11.8275
2003-08-12;-11.8383333333333
2003-08-13;-11.8566666666667
2003-08-14;-11.87
2003-08-15;-11.8770833333333
2003-08-16;-11.91
2003-08-17;-11.975
2003-08-18;-11.9825
2003-08-19;-11.9929166666667
2003-08-20;-12
2003-08-21;-12.0108333333333
2003-08-22;-12.0216666666667
2003-08-23;-12.0325
2003-08-24;-12.0420833333333
2003-08-25;-12.0520833333333
2003-08-26;-12.0595833333333
2003-08-27;-12.0691666666667
2003-08-28;-12.0754166666667
2003-08-29;-12.0845833333333
2003-08-30;-12.0995833333333
2003-08-31;-12.10125
2003-09-01;-12.1091666666667
2003-09-02;-12.1129166666667
2003-09-03;-12.11875
2003-09-04;-12.1316666666667
2003-09-05;-12.1395833333333
2003-09-06;-12.145
2003-09-07;-12.1504166666667
2003-09-08;-12.1558333333333
2003-09-09;-12.1645833333333
2003-09-10;-12.1691666666667
2003-09-11;-12.1770833333333
2003-09-12;-12.18375
2003-09-13;-12.19125
