2	40
1	0.47	0.04	3.83e-6	50	26	43	13	2.235	0.006	2.31	0.23	300	1e-8	12	3	0.12	0.01	0.065	0.25	0.4	220000	15	5	3.2e-9	3.2e-9	0.2	3.2e-9	0.2	1	5.8e-9	5e-4	0.1	0.95	0.5	3764	0.1	2	0	0
2	0.43	0.006	1.8e-6	5	25	42	12	0	0	0	0	300	1e-8	12	3	0.05	0.03	0.022	0	0	0	0	0	3.17e-08	3.17e-08	0.2	3.17e-08	0.2	1	3.17e-08	2e-4	0.1	0.97	0.4	3850	5	1	8.5e-07	18
numSpecs	NumParams
ID	NPP/GPP	Gs_max	CnpQEff	MaxAge	Topt	Tmax	Tmin	AllocLeaf_a	AllocLeaf_b	AllocStem_a	AllocStem_b	Gs_light	Gs_vpd	LWP_d	LWP_c	WiltPnt	SLA	SRA	Crown/Stem	TrShp	WoodDens	Fhdmax	Fhdmin	TurnovL	TurnovL_MWS	TurnovL_WSc	TurnovL_MTS	TurnovL_TSc	ColdStress_c	TurnovR	CWS_max	Albedo	Emissivity	KBeers	WUE_cnp	Kroot	vegtype	TurnovL_DGr	TurnovL_DGrT
